""DragonFlyBSD (amd64)"","1"
""FreeBSD (aarch64)"","1"
""FreeBSD (arm)"","1"
""HP-UX (PA_RISC2.0W)"","1"
""Linux (mips)"","1"
""Linux (mipsel)"","1"
""Linux (riscv64)"","1"
""Linux (sparcv9)"","1"
""Linux (x86_64)"","1"
""Windows 10 (aarch64)"","1"
""Windows Server 2016 Standard (amd64)"","1"
""Linux (ia64)"","2"
""Linux (s390)"","2"
""Windows Server 2003 (amd64)"","2"
""Windows Server 2003 (x86)"","2"
""Linux (zArch_64)"","3"
""Mac OS X (amd64)"","3"
""NetBSD (amd64)"","3"
""Linux (riscv)"","4"
""OS/400 (ppc)"","4"
""Windows Server version 1909 (amd64)"","4"
""Linux (sw64)"","5"
""NONSTOP_KERNEL (IA64N)"","5"
""Windows Vista (amd64)"","5"
""Windows XP (amd64)"","5"
""NONSTOP_KERNEL (x86_64N)"","8"
""OS400 (ppc64)"","8"
""z/OS (s390)"","9"
""HP-UX (ia64)"","12"
""Linux (ppc)"","15"
""HP-UX (PA_RISC2.0)"","23"
""OpenBSD (amd64)"","24"
""HP-UX (IA64W)"","35"
""Linux (x86)"","39"
""OS/400 (ppc64)"","40"
""Windows Vista (x86)"","43"
""Windows 2003 (amd64)"","62"
""Linux (ppc64)"","90"
""FreeBSD (i386)"","91"
""Linux (mips64el)"","124"
""SunOS (x86)"","147"
""AIX (ppc)"","152"
""Windows 8 (x86)"","164"
""z/OS (s390x)"","175"
""SunOS (sparc)"","209"
""Windows Server 2008 (amd64)"","217"
""Windows 8 (amd64)"","218"
""Windows Server 2008 (x86)"","322"
""Linux (s390x)"","357"
""Windows XP (x86)"","364"
""HP-UX (IA64N)"","365"
""Windows 2003 (x86)"","448"
""Linux (ppc64le)"","553"
""FreeBSD (amd64)"","724"
""SunOS (amd64)"","953"
""Windows NT (unknown) (x86)"","983"
""Windows 8.1 (x86)"","1104"
""Windows Server 2019 (x86)"","1297"
""Windows Server 2012 (x86)"","1315"
""SunOS (sparcv9)"","1345"
""Windows 8.1 (amd64)"","1858"
""Windows Server 2012 (amd64)"","1866"
""AIX (ppc64)"","2202"
""Windows NT (unknown) (amd64)"","2316"
""Linux (arm)"","3410"
""Windows Server 2008 R2 (x86)"","3588"
""Linux (aarch64)"","3799"
""Windows Server 2019 (amd64)"","5187"
""Linux (i386)"","5857"
""Windows Server 2008 R2 (amd64)"","7077"
""Windows 7 (x86)"","8711"
""Windows 7 (amd64)"","10436"
""Windows Server 2012 R2 (x86)"","10797"
""Windows Server 2016 (x86)"","13780"
""Windows Server 2012 R2 (amd64)"","23444"
""Windows Server 2016 (amd64)"","25862"
""Windows 10 (x86)"","27068"
""Mac OS X (x86_64)"","30737"
""Windows 10 (amd64)"","50057"
"N/A","274087"
""Linux (amd64)"","536660"
