"2.99","65"
"2.98","107"
"2.97","149"
"2.96","169"
"2.95","232"
"2.94","265"
"2.93","346"
"2.92","388"
"2.91","463"
"2.90","545"
"2.9","799"
"2.89.4","1801"
"2.89.3","2231"
"2.89.2","2737"
"2.89.1","2862"
"2.89","2949"
"2.88","2974"
"2.87","3021"
"2.86","3145"
"2.85","3212"
"2.84","3257"
"2.83","3301"
"2.82","3354"
"2.81","3373"
"2.80","3404"
"2.8","3662"
"2.79","3707"
"2.78","3779"
"2.77","3832"
"2.76","3943"
"2.75","4007"
"2.74","4052"
"2.73.3","4701"
"2.73.2","5032"
"2.73.1","5264"
"2.73","5356"
"2.72","5401"
"2.71","5460"
"2.70","5540"
"2.7.4","5966"
"2.7.3","6116"
"2.7.2","6370"
"2.7.1","6626"
"2.7","6707"
"2.69","6762"
"2.68","6814"
"2.67","6859"
"2.66","6910"
"2.65","6950"
"2.64","7049"
"2.63","7087"
"2.62","7152"
"2.61","7189"
"2.60.3","7890"
"2.60.2","8159"
"2.60.1","8407"
"2.60","8426"
"2.6","8492"
"2.59","8509"
"2.58","8527"
"2.57","8543"
"2.56","8555"
"2.55","8594"
"2.54","8610"
"2.53","8726"
"2.52","8759"
"2.51","8816"
"2.50","8870"
"2.5","8920"
"2.49","8974"
"2.48","9004"
"2.47","9028"
"2.46.3","9496"
"2.46.2","9890"
"2.46.1","10186"
"2.46","10230"
"2.45","10271"
"2.44","10306"
"2.43","10318"
"2.42","10343"
"2.41","10400"
"2.40","10452"
"2.4","10462"
"2.39","10515"
"2.38","10543"
"2.37","10586"
"2.36","10622"
"2.35","10672"
"2.34","10718"
"2.33","10757"
"2.32.3","11038"
"2.32.2","11316"
"2.32.1","11578"
"2.32","11616"
"2.31","11633"
"2.304","14392"
"2.303","17203"
"2.302","27349"
"2.301","35248"
"2.300","38275"
"2.30","38321"
"2.3","38348"
"2.299","43104"
"2.298","46162"
"2.297","48601"
"2.296","50833"
"2.295","53361"
"2.294","53479"
"2.293","57251"
"2.292","57708"
"2.291","59938"
"2.290","61395"
"2.29","61402"
"2.289.3","66313"
"2.289.2","124814"
"2.289.1","163090"
"2.289","165730"
"2.288","167662"
"2.287","169154"
"2.286","170674"
"2.285","172183"
"2.284","173620"
"2.283","175098"
"2.282","176701"
"2.281","177800"
"2.280","179124"
"2.28","179141"
"2.279","179835"
"2.278","180807"
"2.277.4","203539"
"2.277.3","213441"
"2.277.2","221116"
"2.277.1","234284"
"2.277","235446"
"2.276","236191"
"2.275","237497"
"2.274","238548"
"2.273","239165"
"2.272","239790"
"2.271","240615"
"2.270","241523"
"2.27","241580"
"2.269","242372"
"2.268","243190"
"2.267","243986"
"2.266","245026"
"2.265","245796"
"2.264","246535"
"2.263.4","261884"
"2.263.3","269961"
"2.263.2","275734"
"2.263.1","290595"
"2.263","292287"
"2.262","292917"
"2.261","293199"
"2.260","294412"
"2.26","294453"
"2.259","295050"
"2.258","295822"
"2.257","296914"
"2.256","297816"
"2.255","298959"
"2.254","299940"
"2.253","301036"
"2.252","301786"
"2.251","302626"
"2.250","303392"
"2.25","303413"
"2.249.3","313623"
"2.249.2","322686"
"2.249.1","330821"
"2.249","331340"
"2.248","331714"
"2.247","331723"
"2.245","332385"
"2.244","333287"
"2.243","333957"
"2.242","334508"
"2.241","335083"
"2.240","335817"
"2.24","335841"
"2.239","336273"
"2.238","337223"
"2.237","337846"
"2.236","338450"
"2.235.5","346359"
"2.235.4","347659"
"2.235.3","351399"
"2.235.2","357956"
"2.235.1","366068"
"2.235","366786"
"2.234","367269"
"2.233","368091"
"2.232","368388"
"2.231","369413"
"2.230","370388"
"2.23","370448"
"2.229","371207"
"2.228","371642"
"2.227","371939"
"2.226","372649"
"2.225","373191"
"2.224","373275"
"2.223","374082"
"2.222.4","381463"
"2.222.3","389616"
"2.222.1","397027"
"2.222","397684"
"2.221","397995"
"2.220","398895"
"2.22","398923"
"2.219","399740"
"2.218","399939"
"2.217","400113"
"2.215","400312"
"2.214","400852"
"2.213","401306"
"2.212","401360"
"2.211","401490"
"2.210","402045"
"2.21","402075"
"2.209","402552"
"2.208","402995"
"2.207","403507"
"2.206","404100"
"2.205","404574"
"2.204.6","405541"
"2.204.5","409038"
"2.204.4","409961"
"2.204.3","410646"
"2.204.2","420907"
"2.204.1","426527"
"2.204","427194"
"2.203","427592"
"2.202","428040"
"2.201","428446"
"2.200","428969"
"2.20","429017"
"2.2","429055"
"2.199","429958"
"2.198","430334"
"2.197","430560"
"2.196","430791"
"2.195","431221"
"2.194","431626"
"2.193","432086"
"2.192","432302"
"2.191","432509"
"2.190.3","437779"
"2.190.2","442321"
"2.190.1","447814"
"2.190","448259"
"2.19.4","448470"
"2.19.3","448663"
"2.19.2","448785"
"2.19.1","449006"
"2.19","449049"
"2.189","449550"
"2.187","450507"
"2.186","450712"
"2.185","450842"
"2.184","451216"
"2.183","451545"
"2.182","451879"
