"42crunch-security-audit","42"
"AdaptivePlugin","55"
"AnchorChain","644"
"AntepediaReporter-CI-plugin","4"
"ApicaLoadtest","14"
"BlameSubversion","653"
"BlazeMeterJenkinsPlugin","450"
"CFLint","20"
"ColumnPack-plugin","6"
"ColumnsPlugin","65"
"ConfigurationSlicing","1"
"CustomHistory","192"
"DotCi","253"
"DotCi-DockerPublish","157"
"DotCi-Fig-template","17"
"DotCi-InstallPackages","25"
"DotCi-Plugins-Starter-Pack","4"
"DotCiInstallPackages","2"
"Exclusion","1191"
"GatekeeperPlugin","10"
"HiddenParameter","15"
"JDK_Parameter_Plugin","4898"
"JiraTestResultReporter","2046"
"Matrix-sorter-plugin","396"
"NegotiateSSO","313"
"Office-365-Connector","16515"
"Parameterized-Remote-Trigger","14322"
"PerfPublisher","1"
"PrioritySorter","4569"
"SBuild","12"
"SCTMExecutor","53"
"SSSCM","102"
"StashBranchParameter","686"
"Surround-SCM-plugin","118"
"TestComplete","1203"
"TestFairy","156"
"TestResultsAnalyzer","3"
"TwilioNotifier","62"
"URLSCM","651"
"abap-ci","27"
"absint-a3","29"
"absint-astree","21"
"accelerated-build-now-plugin","550"
"accelq-ci-connect","10"
"accurev","223"
"ace-editor","274508"
"active-directory","33327"
"acunetix","159"
"acunetix-360-scan","54"
"adaptive-disconnector","34"
"additional-identities-plugin","256"
"additional-metrics","470"
"adobe-cloud-manager","45"
"adoptopenjdk","1885"
"advanced-installer-msi-builder","244"
"agent-loadbalance","75"
"agent-server-parameter","165"
"aio-tests","18"
"alauda-devops-credentials-provider","37"
"alauda-devops-pipeline","27"
"alauda-devops-sync","7"
"alauda-kubernetes-support","77"
"alauda-pipeline","35"
"alibabacloud-credentials","76"
"alibabacloud-ecs","34"
"alibabacloud-edas","14"
"aliyun-oss-uploader","536"
"all-changes","2182"
"allure-jenkins-plugin","14965"
"amazon-ecr","7798"
"amazon-ecs","4813"
"amqp-build-trigger","7"
"analysis-collector","6828"
"analysis-core","22838"
"analysis-model-api","24047"
"anchore-container-scanner","1395"
"android-apk-size-watcher","145"
"android-emulator","3158"
"android-lint","1786"
"android-signing","1562"
"anka-build","45"
"ansible","20371"
"ansible-tower","2662"
"ansicolor","44277"
"ant","252785"
"ant-in-workspace","982"
"antexec","1004"
"antisamy-markup-formatter","272524"
"any-buildstep","2589"
"anything-goes-formatter","1224"
"apache-httpcomponents-client-4-api","280673"
"apifortress","15"
"app-detector","50"
"appaloosa-plugin","145"
"appcenter","1024"
"appdynamics-dashboard","446"
"appetize","103"
"appio","67"
"applatix","3"
"application-director-plugin","13"
"applitools-eyes","116"
"appray","2"
"apprenda","3"
"appscan","306"
"appthwack","9"
"aqua-microscanner","240"
"aqua-security-scanner","621"
"aqua-serverless","47"
"arachni-scanner","52"
"archived-artifact-url-viewer","490"
"arestocats","6"
"argus-notifier","22"
"artifact-diff-plugin","341"
"artifact-manager-s3","1725"
"artifact-promotion","2069"
"artifact-repository-parameter","106"
"artifactdeployer","7370"
"artifactory","22501"
"artifactz","3"
"asakusa-satellite-plugin","6"
"ascentialtest-cmd-line","7"
"assembla","46"
"assembla-auth","81"
"assembla-merge-request-builder","122"
"assertthat-bdd-jira","107"
"associated-files","104"
"async-http-client","6307"
"async-job","78"
"atlassian-bitbucket-server-integration","5471"
"atlassian-jira-software-cloud","2085"
"attention","39"
"audit-log","360"
"audit-trail","8956"
"audit2db","389"
"authentication-tokens","177400"
"authorize-project","29865"
"autoaction-step","78"
"autocancel","83"
"autocomplete-parameter","256"
"autograding","39"
"avatar","409"
"aws-batch","135"
"aws-beanstalk-publisher-plugin","690"
"aws-beanstalk-releaser","66"
"aws-bucket-credentials","1988"
"aws-cloudwatch-logs-publisher","259"
"aws-codebuild","1576"
"aws-codecommit-jobs","609"
"aws-codecommit-trigger","471"
"aws-codepipeline","1752"
"aws-credentials","31844"
"aws-device-farm","507"
"aws-global-configuration","3156"
"aws-java-sdk","33742"
"aws-java-sdk-cloudformation","12845"
"aws-java-sdk-codebuild","12840"
"aws-java-sdk-core","615"
"aws-java-sdk-ec2","16670"
"aws-java-sdk-ecr","13608"
"aws-java-sdk-ecs","12849"
"aws-java-sdk-elasticbeanstalk","12843"
"aws-java-sdk-iam","12858"
"aws-java-sdk-jmespath","599"
"aws-java-sdk-kms","589"
"aws-java-sdk-logs","12843"
"aws-java-sdk-minimal","16963"
"aws-java-sdk-s3","576"
"aws-java-sdk-ssm","12847"
"aws-java-sdk-sts","530"
"aws-kinesis-consumer","6"
"aws-lambda","2312"
"aws-lambda-cloud","251"
"aws-parameter-store","1093"
"aws-sam","382"
"aws-secrets-manager-credentials-provider","2243"
"aws-secrets-manager-secret-source","1184"
"aws-sqs","363"
"aws-yum-parameter","141"
"awseb-deployment-plugin","1626"
"azure-acs","809"
"azure-ad","2897"
"azure-app-service","1074"
"azure-artifact-manager","405"
"azure-batch-parallel","114"
"azure-cli","1337"
"azure-commons","10025"
"azure-container-agents","629"
"azure-container-registry-tasks","544"
"azure-credentials","5429"
"azure-credentials-ext","298"
"azure-dev-spaces","87"
"azure-event-grid-notifier","49"
"azure-function","426"
"azure-iot-edge","39"
"azure-keyvault","1022"
"azure-publishersettings-credentials","210"
"azure-sdk","4552"
"azure-slave-plugin","32"
"azure-vm-agents","1594"
"azure-vmss","263"
"backlog","409"
"backup","7494"
"backup-interrupt-plugin","640"
"badge","17513"
"bart","3"
"basic-branch-build-strategies","8958"
"batch-task","1660"
"bazaar","83"
"bds-plugin","107"
"beagle-security","4"
"beaker-builder","16"
"bearychat","107"
"beer","180"
"bees-sdk-plugin","3"
"behave-testresults-publisher","161"
"benchmark","112"
"benchmark-evaluator","59"
"bigpanda-jenkins","19"
"binary-deployer","11"
"bitbucket","24989"
"bitbucket-approval-filter","500"
"bitbucket-approve","1427"
"bitbucket-build-status-notifier","5203"
"bitbucket-filter-project-trait","703"
"bitbucket-kubernetes-credentials","173"
"bitbucket-oauth","3382"
"bitbucket-pullrequest-builder","4173"
"bitbucket-pullrequests-filter","284"
"bitbucket-push-and-pull-request","4152"
"bitbucket-scm-filter-aged-refs","532"
"bitbucket-scm-filter-jira-validator","607"
